municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-01 00:20:00.0;0,00
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-01 01:10:00.0;0,00
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-01 02:10:00.0;0,00
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-01 03:10:00.0;0,00
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-01 04:20:00.0;0,00
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-01 05:10:00.0;0,00
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-01 06:10:00.0;0,00
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-01 07:10:00.0;0,00
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-01 08:10:00.0;0,00
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-01 09:10:00.0;0,00
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-01 10:10:00.0;0,00
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-01 11:10:00.0;0,00
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-01 12:10:00.0;0,00
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-01 13:10:00.0;0,00
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-01 14:40:00.0;0,00
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-01 15:10:00.0;0,00
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-01 16:10:00.0;0,00
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-01 17:20:00.0;0,00
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-01 18:20:00.0;0,00
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-01 19:10:00.0;0,00
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-01 20:10:00.0;0,00
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-01 21:10:00.0;0,00
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-01 22:10:00.0;0,00
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-01 23:10:00.0;0,00
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-02 00:20:00.0;0,00
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-02 01:20:00.0;0,00
ALVARÃES;130002901A;AM;Santa Luzia;-3,21726;-64,817575;2025-12-02 02:10:00.0;0,00
